region,value
37131,29509
37133,42046
37135,55306
37137,40469
37139,37286
37141,41801
37143,39527
37145,39143
37147,38072
37149,40607
37151,38031
37153,30526
37155,28129
37157,37613
37159,38570
37161,33054
37163,33376
37165,30051
37167,39803
37169,41431
37171,33684
37173,32132
37175,37736
37177,30356
37179,59435
37181,33074
37183,60850
37185,31402
37187,29383
37189,35692
37191,38617
37193,33381
37195,37916
37197,38126
37199,33354
38001,41693
38003,48390
38005,39361
38007,69408
38009,56987
38011,56196
38013,56184
38015,59055
38017,49359
38019,49824
38021,48743
38023,59160
38025,65017
38027,43592
38029,40395
38031,51308
38033,44734
38035,46216
38037,42692
38039,47028
38041,55956
38043,44071
38045,51508
38047,45121
38049,45640
38051,37700
38053,70397
38055,49849
38057,65236
38059,55472
38061,60955
38063,51998
38065,61453
38067,50202
38069,41462
38071,45846
38073,54475
38075,57223
38077,50508
38079,32396
38081,54562
38083,40310
38085,32075
38087,55660
38089,64693
38091,61126
38093,47373
38095,51333
38097,53013
38099,44918
38101,52256
38103,50451
38105,78337
39001,34649
39003,40243
39005,44820
39007,38034
39009,33277
39011,50227
39013,36514
39015,40035
39017,52070
39019,41496
39021,45118
39023,40945
39025,57097
39027,43281
39029,39054
39031,36730
39033,35730
39035,40595
39037,40421
39039,45541
39041,82781
39043,43238
39045,52726
39047,37227
39049,47852
39051,47850
39053,36684
39055,64239
39057,55884
39059,36975
39061,43822
39063,45316
39065,39499
39067,37517
39069,47525
39071,37588
39073,39408
39075,45678
39077,41685
39079,35174
39081,35407
39083,43757
39085,51591
39087,38256
39089,51063
39091,46569
39093,49066
39095,37897
39097,50254
39099,38199
39101,39860
39103,62047
39105,37220
39107,51250
39109,48257
39111,38128
39113,40084
39115,33531
39117,46479
39119,37569
39121,39453
39123,48160
39125,43634
39127,38673
39129,48977
39131,38214
39133,48893
39135,43941
39137,56320
39139,37394
39141,39737
39143,43522
39145,34113
39147,43820
39149,47920
39151,42033
39153,45896
39155,39013
39157,41031
39159,63841
39161,43865
39163,35191
39165,69785
39167,38348
39169,46107
39171,42322
39173,48895
39175,43306
40001,29756
40003,46674
40005,32523
40007,51407
40009,46105
40011,38385
40013,34037
40015,34685
40017,59414
40019,40016
40021,34076
40023,28803
40025,36842
40027,51022
40029,33049
40031,39740
40033,37764
40035,34345
40037,41483
40039,44079
40041,33688
40043,45854
40045,46316
40047,44602
40049,35723
40051,45262
40053,47538
40055,32368
40057,29486
40059,42215
40061,32590
40063,32229
40065,38265
40067,29680
40069,32707
40071,38219
40073,51131
40075,32187
40077,33643
40079,32662
40081,39410
40083,53463
40085,42921
40087,53737
40089,29125
40091,35426
40093,48568
40095,35389
40097,38260
40099,46327
40101,35872
40103,43734
40105,37722
40107,32532
40109,42767
40111,34025
40113,46497
40115,33405
40117,39957
40119,36835
40121,38226
40123,37644
40125,41295
40127,30086
40129,50182
40131,51952
40133,32298
40135,31537
40137,42412
40139,43628
40141,32599
40143,44714
40145,49379
40147,43555
40149,43468
40151,45180
40153,50365
41001,39244
41003,47162
41005,61855
41007,40033
41009,51354
41011,34951
41013,40307
41015,34571
41017,45965
41019,37424
41021,46523
41023,37727
41025,34446
41027,47326
41029,40354
41031,38228
41033,34984
41035,34912
41037,35204
41039,40712
41041,37013
41043,41793
41045,32144
41047,43633
41049,47696
41051,49868
41053,47636
41055,48989
41057,38671
41059,43757
41061,38436
41063,39757
41065,39487
41067,59175
41069,30749
41071,53405
42001,53682
42003,47800
42005,39920
42007,45768
42009,44641
42011,51737
42013,38831
42015,45677
42017,68502
42019,54337
42021,38063
42023,35237
42025,41232
42027,48878
42029,77907
42031,37238
42033,37116
42035,41743
42037,42373
42039,40726
42041,55922
42043,49734
42045,59690
42047,43139
42049,41125
42051,35272
42053,35419
42055,50137
42057,42808
42059,41993
42061,39504
42063,41387
42065,38721
42067,42948
42069,41779
42071,52790
42073,40173
42075,51103
42077,49959
42079,41601
42081,43395
42083,38735
42085,40859
42087,39585
42089,51401
42091,71626
42093,49594
42095,55430
42097,38201
42099,52583
42101,34332
42103,55954
42105,36995
42107,38606
42109,42367
42111,39720
42113,38749
42115,45795
42117,41896
42119,46022
42121,38813
42123,39098
42125,51072
42127,42598
42129,47811
42131,43719
42133,52973
44001,63623
44003,58803
44005,62578
44007,44305
44009,64415
45001,33652
45003,40803
45005,23949
45007,38678
45009,28607
45011,29665
45013,52407
45015,47236
45017,37750
45019,47619
45021,35084
45023,33965
45025,31238
45027,27988
45029,31448
45031,31813
45033,31336
45035,51327
45037,41720
45039,33042
45041,38154
45043,38326
45045,46010
45047,34610
45049,30634
45051,38880
45053,32411
45055,41650
45057,37977
45059,34195
45061,28803
45063,50106
45065,35511
45067,26522
45069,29001
45071,35236
45073,39130
45075,29926
45077,39430
45079,44165
45081,37539
45083,39651
45085,36438
45087,31658
45089,27332
